symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-23T20:00:00+00:00,2003-05-24T00:00:00+00:00,1.18236,1.18363,75861.8065,-96.34449,
EURUSD,2003-05-26T02:00:00+00:00,2003-05-26T05:00:00+00:00,1.18128,1.18221,76920.2011,71.53579,
EURUSD,2003-05-26T02:00:00+00:00,2003-05-26T06:00:00+00:00,1.18128,1.18147,25640.0670,4.87161,
EURUSD,2003-05-25T23:00:00+00:00,2003-05-26T08:00:00+00:00,1.18177,1.17976,35589.9438,71.53579,
EURUSD,2003-05-25T23:00:00+00:00,2003-05-26T09:00:00+00:00,1.18177,1.18120,11863.3146,6.76209,
EURUSD,2003-05-26T00:00:00+00:00,2003-05-26T14:00:00+00:00,1.18123,1.18378,37404.3331,-95.38105,
EURUSD,2003-05-26T01:00:00+00:00,2003-05-26T14:00:00+00:00,1.18102,1.18378,34558.3512,-95.38105,
EURUSD,2003-05-26T07:00:00+00:00,2003-05-26T14:00:00+00:00,1.18085,1.18332,38925.1511,-96.14512,
EURUSD,2003-05-26T08:00:00+00:00,2003-05-26T14:00:00+00:00,1.18053,1.18282,42297.1534,-96.86048,
EURUSD,2003-05-26T10:00:00+00:00,2003-05-26T14:00:00+00:00,1.18135,1.18315,40386.7092,72.69608,
EURUSD,2003-05-26T10:00:00+00:00,2003-05-26T14:00:00+00:00,1.18135,1.18135,13462.2364,0.00000,
EURUSD,2003-05-26T20:00:00+00:00,2003-05-26T22:00:00+00:00,1.18660,1.18576,83765.5230,70.36304,
EURUSD,2003-05-26T20:00:00+00:00,2003-05-26T22:00:00+00:00,1.18660,1.18660,27921.8410,0.00000,
EURUSD,2003-05-26T17:00:00+00:00,2003-05-27T00:00:00+00:00,1.18681,1.18478,46215.4610,-93.81739,
EURUSD,2003-05-26T22:00:00+00:00,2003-05-27T01:00:00+00:00,1.18574,1.18744,55600.5978,-94.52102,
EURUSD,2003-05-27T05:00:00+00:00,2003-05-27T10:00:00+00:00,1.18441,1.19067,14798.3438,-92.63763,
EURUSD,2003-05-27T06:00:00+00:00,2003-05-27T10:00:00+00:00,1.18331,1.19067,12586.6348,-92.63763,
EURUSD,2003-05-23T17:00:00+00:00,2003-05-27T11:00:00+00:00,1.17985,1.19160,6136.3560,72.10218,
EURUSD,2003-05-27T07:00:00+00:00,2003-05-27T11:00:00+00:00,1.18657,1.19148,14150.3511,69.47822,
EURUSD,2003-05-23T17:00:00+00:00,2003-05-27T12:00:00+00:00,1.17985,1.18922,2045.4520,19.16589,
